编码,中文名称,拼音名称,区域级别,上级区域编码,短名字,后缀
610902,汉滨区,han bin qu,4,610900,汉滨,区
610921,汉阴县,han yin xian,4,610900,汉阴,县
610922,石泉县,shi quan xian,4,610900,石泉,县
610923,宁陕县,ning shan xian,4,610900,宁陕,县
610924,紫阳县,zi yang xian,4,610900,紫阳,县
610925,岚皋县,lan gao xian,4,610900,岚皋,县
610926,平利县,ping li xian,4,610900,平利,县
610927,镇坪县,zhen ping xian,4,610900,镇坪,县
610928,旬阳县,xun yang xian,4,610900,旬阳,县
610929,白河县,bai he xian,4,610900,白河,县
340802,迎江区,ying jiang qu,4,340800,迎江,区
340803,大观区,da guan qu,4,340800,大观,区
340811,宜秀区,yi xiu qu,4,340800,宜秀,区
340822,怀宁县,huai ning xian,4,340800,怀宁,县
340825,太湖县,tai hu xian,4,340800,太湖,县
340826,宿松县,xiu song xian,4,340800,宿松,县
340827,望江县,wang jiang xian,4,340800,望江,县
340828,岳西县,yue xi xian,4,340800,岳西,县
340881,桐城市,tong cheng shi,4,340800,桐城,市
340882,潜山市,qian shan shi,4,340800,潜山,市
520402,西秀区,xi xiu qu,4,520400,西秀,区
520403,平坝区,ping ba qu,4,520400,平坝,区
520422,普定县,pu ding xian,4,520400,普定,县
